,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
522,CB Unicorn 160,2015, Telangana,162,Single Owner,40000,40000,2022-08-19,Honda
523,Duke 390 BS6,2017," Mumbai, Maharashtra",390,Single Owner,3000,200000,2022-08-19,KTM
524,Dominar 250,2022," Bangalore, Karnataka",250,Single Owner,650,175000,2022-08-20,Bajaj
525,Enfield Bullet Electra 5S,2007," Chennai, Tamil Nadu",346,Two,55000,85000,2022-08-19,Royal Enfield
526,Enfield Thunderbird 350,2014," Thane, Maharashtra",346,Single Owner,12000,70000,2022-08-19,Royal Enfield
527,Enfield Bullet Standard 350,2020," Thrissur, Kerala",346,Single Owner,33000,125000,2022-08-19,Royal Enfield
528,Pulsar 200 NS,2013," Panipat, Haryana",199,Single Owner,35000,67000,2022-08-19,Bajaj
529,Avenger 200 DTS-i,2010," Pune, Maharashtra",200,Single Owner,40000,40000,2022-08-19,Bajaj
530,Enfield Thunderbird X 350,2019," Hanamkonda, Telangana",346,Single Owner,5000,160000,2022-08-19,Royal Enfield
531,FZ-S FI V3 BS6,2019," Hyderabad, Telangana",150,Single Owner,2800,98000,2022-08-19,Yamaha
532,Enfield Classic 350,2018," Bangalore, Karnataka",346,Single Owner,43485,145000,2022-02-09,Royal Enfield
533,Avenger Street 220,2016," Bangalore, Karnataka",220,Single Owner,51300,56000,2022-02-09,Bajaj
